"","taxa","myc"
"523","Hylandia_dockrillii","AM"
"524","Fontainea_venosa","AM"
"525","Garcia_nutans","AM"
"526","Reutealis_trisperma","AM"
"527","Vernicia_fordii","AM"
"528","Vernicia_montana","AM"
"529","Aleurites_moluccanus","AM"
"530","Manniophyton_africanum","AM"
"531","Sandwithia_guyanensis","AM"
"532","Tannodia_tenuifolia","AM"
"533","Tannodia_cordifolia","AM"
"534","Karima_scarciesii","AM"
"535","Neoboutonia_mannii","AM"
"536","Crotonogyne_strigosa","AM"
"537","Cavacoa_aurea","AM"
"538","Cocconerion_minus","AM"
"539","Bertya_rosmarinifolia","AM"
"540","Bertya_sharpeana","AM"
"541","Ricinocarpos_tuberculatus","AM"
"542","Ricinocarpos_pinifolius","AM"
"543","Beyeria_leschenaultii","AM"
"544","Schinziophyton_rautanenii","AM"
"545","Givotia_madagascariensis","AM"
"546","Ricinodendron_heudelotii","AM"
"547","Jatropha_podagrica","AM"
"548","Jatropha_multifida","AM"
"549","Jatropha_glandulifera","AM"
"550","Jatropha_integerrima","AM"
"551","Jatropha_platyphylla","AM"
"552","Jatropha_tanjorensis","AM"
"553","Jatropha_latifolia","AM"
"554","Jatropha_curcas","AM"
"555","Jatropha_gossypiifolia","AM"
"556","Deutzianthus_tonkinensis","AM"
"557","Joannesia_princeps","AM"
"558","Paracroton_zeylanicus","AM"
"559","Acidocroton_verrucosus","AM"
"560","Acidocroton_oligostemon","AM"
"561","Acidocroton_trichophyllus","AM"
"562","Astraea_praetervisa","AM"
"563","Astraea_lobata","AM"
"564","Astraea_klotzschii","AM"
"565","Brasiliocroton_mamoninha","AM"
"566","Brasiliocroton_muricatus","AM"
"567","Croton_alainii","AM"
"568","Croton_ekmanii","AM"
"569","Croton_leonis","AM"
"570","Croton_nubigenus","AM"
"571","Croton_corinthius","AM"
"572","Croton_quercetorum","AM"
"573","Croton_mexicanus","AM"
"574","Croton_verapazensis","AM"
"575","Croton_grewiifolius","AM"
"576","Croton_tonduzii","AM"
"577","Croton_corylifolius","AM"
"578","Croton_oerstedianus","AM"
"579","Croton_lundellii","AM"
"580","Croton_caracasanus","AM"
"581","Croton_beetlei","AM"
"582","Croton_poecilanthus","AM"
"583","Croton_setiger","AM"
"584","Croton_priscus","AM"
"585","Croton_eichleri","AM"
"586","Croton_thomasii","AM"
"587","Croton_guianensis","AM"
"588","Croton_hircinus","AM"
"589","Croton_sellowii","AM"
"590","Croton_sutup","AM"
"591","Croton_lucidus","AM"
"592","Croton_glandulosepalus","AM"
"593","Croton_ameliae","AM"
"594","Croton_paludosus","AM"
"595","Croton_velutinus","AM"
"596","Croton_nummulariifolius","AM"
"597","Croton_cerinus","AM"
"598","Croton_ovalifolius","AM"
"599","Croton_montevidensis","AM"
"600","Croton_eremophilus","AM"
"601","Croton_serratifolius","AM"
"602","Croton_luetzelburgii","AM"
"603","Croton_axillaris","AM"
"604","Croton_rosmarinoides","AM"
"605","Croton_pendens","AM"
"606","Croton_decalobus","AM"
"607","Croton_alamosanus","AM"
"608","Croton_elliottii","AM"
"609","Croton_capitatus","AM"
"610","Croton_lindheimeri","AM"
"611","Croton_heptalon","AM"
"612","Croton_leucophyllus","AM"
"613","Croton_monanthogynus","AM"
"614","Croton_pottsii","AM"
"615","Croton_lindheimerianus","AM"
"616","Croton_conspurcatus","AM"
"617","Croton_triqueter","AM"
"618","Croton_fuscescens","AM"
"619","Croton_subpannosus","AM"
"620","Croton_argenteus","AM"
"621","Croton_sacaquinha","AM"
"622","Croton_micans","AM"
"623","Croton_argyrophyllus","AM"
"624","Croton_jacobinensis","AM"
"625","Croton_astroites","AM"
"626","Croton_watsonii","AM"
"627","Croton_scaber","AM"
"628","Croton_helicoideus","AM"
"629","Croton_bixoides","AM"
"630","Croton_bredemeyeri","AM"
"631","Croton_tabascensis","AM"
"632","Croton_yucatanensis","AM"
"633","Croton_masonii","AM"
"634","Croton_culiacanensis","AM"
"635","Croton_acapulcensis","AM"
"636","Croton_tricolor","AM"
"637","Croton_floribundus","AM"
"638","Croton_repens","AM"
"639","Croton_malvaviscifolius","AM"
"640","Croton_betulinus","AM"
"641","Croton_antisyphiliticus","AM"
"642","Croton_pachysepalus","AM"
"643","Croton_hirtus","AM"
"644","Croton_glandulosus","AM"
"645","Croton_varelae","AM"
"646","Croton_cupulifer","AM"
"647","Croton_martinianus","AM"
"648","Croton_santaritensis","AM"
"649","Croton_chamelensis","AM"
"650","Croton_itzaeus","AM"
"651","Croton_guildingii_subsp._tiarensis","AM"
"652","Croton_jutiapensis","AM"
"653","Croton_ramillatus","AM"
"654","Croton_gynopetalus","AM"
"655","Croton_flaviglandulosus","AM"
"656","Croton_ortholobus","AM"
"657","Croton_brevipes","AM"
"658","Croton_macrodontus","AM"
"659","Croton_liebmannii","AM"
"660","Croton_trinitatis","AM"
"661","Croton_tenuilobus","AM"
"662","Croton_pedicellatus","AM"
"663","Croton_cuyabensis","AM"
"664","Croton_microcarpus","AM"
"665","Croton_burchellii","AM"
"666","Croton_breedlovei","AM"
"667","Croton_linearifolius","AM"
"668","Croton_andinus","AM"
"669","Croton_pallidulus","AM"
"670","Croton_erythroxyloides","AM"
"671","Croton_dichrous","AM"
"672","Croton_ceanothifolius","AM"
"673","Croton_argentinus","AM"
"674","Croton_pycnocephalus","AM"
"675","Croton_laureltyanus","AM"
"676","Croton_catamarcensis","AM"
"677","Croton_troncosoi","AM"
"678","Croton_cordiifolius","AM"
"679","Croton_palanostigma","AM"
"680","Croton_smithianus","AM"
"681","Croton_chocoanus","AM"
"682","Croton_skutchii","AM"
"683","Croton_megalodendron","AM"
"684","Croton_matourensis","AM"
"685","Croton_bispinosus","AM"
"686","Croton_myricifolius","AM"
"687","Croton_brittonianus","AM"
"688","Croton_arboreus","AM"
"689","Croton_sousae","AM"
"690","Croton_mayarum","AM"
"691","Croton_icche","AM"
"692","Croton_populifolius","AM"
"693","Croton_schiedeanus","AM"
"694","Croton_pseudoniveus","AM"
"695","Croton_reflexifolius","AM"
"696","Croton_fantzianus","AM"
"697","Croton_guatemalensis","AM"
"698","Croton_niveus","AM"
"699","Croton_laurinus","AM"
"700","Croton_grisebachianus","AM"
"701","Croton_polyandrus","AM"
